"Server","Проект / сервис","Владелец","Чат / группа (reddy)"
"sc-ams99-x-prod-mcrmcl5-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrmcl5-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mcrmcl5-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mprm-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mprm-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-prod-mprm-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xmr-stage-players-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xmr-stage-players-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xmr-stage-players-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-b2b-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-b2b-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-b2b-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-local-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-local-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-local-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-obe-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-obe-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-obe-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-sls-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-sls-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-sls-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-software-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-software-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-software-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-stage-crmcl1-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-stage-crmcl1-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-stage-crmcl1-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-stage-crmcl2-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-stage-crmcl2-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-stage-crmcl2-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-stage-crmcl3-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-stage-crmcl3-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-x-stage-crmcl3-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-local-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-local-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-local-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-obe-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-obe-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-ams99-xrm-prod-obe-mongo-3","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-lux99-xrm-stage-sls-mongo-1","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
"sc-lux99-xrm-stage-sls-mongo-2","crm/prm/xrm","Игорь Крузе","CRM + PRM. Админство /   CRM.MongoDb"
